title,summary,link,author
The truth behind the 'He Gets Us' ads airing during the Super Bowl,"CNN —In between star-studded advertisements and a whole lot of football, this year’s Super Bowl watchers are being taken to church.
“He Gets Us,” a campaign to promote Jesus and Christianity, is running two ads during the game as part of a staggering $100 million media investment.
Sue Ogrocki/APGreen discussed his involvement in the campaign, and the Super Bowl ad spots, during a November 2022 interview with conservative talk show host Glenn Beck.
I think we have to let the public know and create a movement.”“He Gets Us” does not list donors on its website.
CNN asked Vanderground, the representative for He Gets Us, if the campaign supports and affirms LGBTQ Christians.",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMi8xMS91cy9oZS1nZXRzLXVzLXN1cGVyLWJvd2wtY29tbWVyY2lhbHMtY2VjL2luZGV4Lmh0bWzSAQA?oc=5,['Aj Willingham']
Critics reject changes to Roald Dahl books as censorship,"A review of new editions of Dahl’s books now available in bookstores shows that some passages relating to weight, mental health, gender and race were altered.
The changes made by Puffin Books, a division of Penguin Random House, first were reported by Britain’s Daily Telegraph newspaper.
“Roald Dahl was no angel but this is absurd censorship,’’ Rushdie wrote on Twitter.
It said the analysis started in 2020, before Netflix bought the Roald Dahl Story Company and embarked on plans to produce a new generation of films based on the author's books.
PEN America, a community of some 7,500 writers that advocates for freedom of expression, said it was “alarmed” by reports of the changes to Dahl’s books.",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmNvYXN0cmVwb3J0ZXIubmV0L3RoZS1taXgvY3JpdGljcy1yZWplY3QtY2hhbmdlcy10by1yb2FsZC1kYWhsLWJvb2tzLWFzLWNlbnNvcnNoaXAtNjU4MDc0ONIBAA?oc=5,"['Danica Kirka', 'The Associated Press']"
Lehigh County OKs $900K in relief funds for nonprofits,"Allentown, PA (18103)TodaySome morning sunshine, then becoming cloudy with a wintry mix or some rain developing later in the day.
Turns breezy by evening.
A coating to an inch possible before the change, mostly in the Poconos. .TonightPeriods of rain, heavy at times the first half of the night.
Any wintry mix early on in the Poconos changes to rain.
Brisk easterly winds gust over 30mph in spots.",https://news.google.com/rss/articles/CBMikwFodHRwczovL3d3dy53Zm16LmNvbS9uZXdzL2FyZWEvbGVoaWdodmFsbGV5L2xlaGlnaC1jb3VudHktb2tzLTkwMGstaW4tcmVsaWVmLWZ1bmRzLWZvci1ub25wcm9maXRzL2FydGljbGVfZjQ0MWMzOTYtYjMxZC0xMWVkLWIwODAtODM3MGNmMDc1MDVhLmh0bWzSAQA?oc=5,"['Steve Althouse', 'Lehigh And Northampton Transportation Authority']"
Supreme Court dismisses PIL seeking ban of BBC in India; calls it misconceived,"Supreme CourtThe Supreme Court on February 10, dismissed a plea filed by Hindu Sena seeking a ban on the British Broadcasting Corporation (BBC) for airing the documentary on PM Modi and anti-India reporting.
A bench of the apex court led by Justice Sanjiv Khanna observed that the plea was entirely misconceived and the court cannot impose a complete censorship.
It further alleged that BBC documentary on PM Narendra Modi is result of deep conspiracy against global rise of India and its PM.
The bench had also asked the government to submit files pertaining to the ban in the court.
On January 21, the Centre issued directions for blocking multiple YouTube videos and Twitter posts sharing links to the controversial BBC documentary ""India: The Modi Question"", according to sources.",https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvdHJlbmRzL2xlZ2FsL3N1cHJlbWUtY291cnQtZGlzbWlzc2VzLXBpbC1zZWVraW5nLWJhbi1vZi1iYmMtaW4taW5kaWEtY2FsbHMtaXQtbWlzY29uY2VpdmVkLTEwMDUwNDMxLmh0bWzSAQA?oc=5,[]
Exercise Update,"Exercise UpdateBack in November, my dad and I started working out together at Planet Fitness.
After about a month of going to the gym, I got COVID for the third time.
I feel like if I talk about my eating habits, it’s just a window into my home of mental illnesses.
Do I not exercise because I’m depressed?
I’m going to wear shorts and dresses and swimsuits and I’m going to enjoy the sun and the water and all the food I want.",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd2hhdGV2ZXIuc2NhbHppLmNvbS8yMDIzLzAyLzIyL2V4ZXJjaXNlLXVwZGF0ZS_SAQA?oc=5,['Athena Scalzi']
2 brothers charged in arena slaying during basketball game,"TRENTON, N.J. (AP) — Two brothers have been charged in a stabbing death at a New Jersey arena during a high school basketball tournament game last week, authorities said Tuesday.
Authorities found Glanton stabbed after a fight that broke out following a game Thursday night at the CURE Insurance Arena in Trenton, according to Mercer County prosecutors.
Kareen Finney held Glanton while his younger brother repeatedly stabbed him, investigators allege, citing video and witness interviews.
Investigators also discovered that the brothers had an ongoing dispute with the victim over a female, prosecutors said.
A phone number listed for Kareem Finney rang unanswered and then disconnected, and a listed phone number for Kahli Finney couldn’t be found Tuesday night.",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmJsYWNraGlsbHNmb3guY29tLzIwMjMvMDIvMjIvMi1icm90aGVycy1jaGFyZ2VkLWFyZW5hLXNsYXlpbmctZHVyaW5nLWJhc2tldGJhbGwtZ2FtZS_SAQA?oc=5,[]
Japan Manufacturers Gloomy as Global Slowdown Hurts - Reuters Tankan,"By Tetsushi KajimotoTOKYO (Reuters) - Big manufacturers in Japan remained gloomy in February and the service-sector mood slid for a second straight month, a Reuters' poll showed, a sign that the global slowdown is holding back the country's recovery from COVID-induced economic doldrums.
The monthly Reuters Tankan, which closely tracks the Bank of Japan's (BOJ) key tankan quarterly survey, found the sentiment index for big manufacturers stood at -5 in February, little changed from the prior month's -6.
The survey asks respondents whether the business situation is good, not so good or bad.
On top of that, wages are rising, all of which squeezes the business environment,"" a manager of a metal processing firm wrote in the survey.
Japan's economy averted recession in the fourth quarter but rebounded much less than expected as business investment slumped.",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvbmV3cy9hcnRpY2xlcy8yMDIzLTAyLTIxL2phcGFuLW1hbnVmYWN0dXJlcnMtZ2xvb215LWFzLWdsb2JhbC1zbG93ZG93bi1odXJ0cy1yZXV0ZXJzLXRhbmthbtIBAA?oc=5,"['Feb.', 'At P.M.']"
How to open all Slytherin Locks in Hogwarts Legacy,"This particular mystery is about the Slytherin Locks which is part of a quest.
Here is how you can open Slytherin Locks in Hogwarts Legacy.
How to solve Slytherin Locks in Hogwarts LegacyUnlocking the Slytherin Locks is part of In The Shadow of the Study quest in which you help Ominis and Sebastian get inside Salazar Slytherin's Scriptorium.
Part of the quest requires you to solve Slytherin Lock puzzles to gain access to another room.
This is when you come across the Slytherin Locks in Hogwarts Legacy.",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vcHJvZ2FtZWd1aWRlcy5jb20vaG9nd2FydHMtbGVnYWN5L2hvdy10by1vcGVuLXNseXRoZXJpbi1sb2Nrcy1pbi1ob2d3YXJ0cy1sZWdhY3kv0gEA?oc=5,['Shreya Paul']
Actress Raquel Welch has Died,"Actress Raquel Welch, known for her roles in “Fantastic Voyage” and “One Million Years B.C.”, has died, reported CNN.
Welch is survived by two children, son Damon Welch and her daughter Tahnee Welch, according to her manager’s statement to CNN.
Witherspoon shared on Twitter, “So sad to hear about Raquel Welch’s passing.
Sending love to her family and her many fans.”The Muppets shared, “We’ll never forget our remarkable friend Raquel Welch, one of our favorite guests on The Muppet Show.
From dancing with a giant spider, to inspiring ” href=”https://twitter.com/FozzieBear”>@FozzieBear, and duetting with @MissPiggy, Raquel could do it all!”",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd2lsc29uY291bnR5c291cmNlLmNvbS9hY3RyZXNzLXJhcXVlbC13ZWxjaC1oYXMtZGllZC_SAQA?oc=5,"['Donna Vissman', 'Donna Is One Of Those Former Corporate Types', 'Xerox', 'Who Wanted To Try Something New. She Went Marketing To Blogger', 'Now Lifestyle Reporter', 'Is Always On The Lookout For What S Trending In Restaurants', 'New Stores', 'Charity Events', 'Entertainment. To Keep Up The Pace', 'Donna Is Usually Found Drinking At Least One Cold Brew Coffee A Day Or On A Busy Day']"
Mega Millions: A single winning ticket for Friday's $1.35 billion jackpot drawing was sold in Maine,"CNN —One ticket sold in Maine beat the eerie odds of Friday the 13th and its buyer is set to claim the Mega Millions jackpot of about $1.35 billion, the lottery said.
Winning ticket sold at Hometown Gas & Grill in Lebanon Maine,” the Maine Lottery said in a Facebook post early Saturday.
“It’s the fourth billion-dollar jackpot in Mega Millions history.”Friday’s jackpot was Mega Millions’ second-largest ever, surpassed only by the lottery’s record of $1.537 billion won in South Carolina in 2018, the lottery said.
Other big winners from Friday’s drawing include 14 tickets that snagged $1 million prizes, according to Mega Millions.
Mega Millions is played in 45 states, along with the District of Columbia and the US Virgin Islands.",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xNC91cy9tZWdhLW1pbGxpb25zLWphY2twb3Qtd2lubmVyLXNhdHVyZGF5L2luZGV4Lmh0bWzSAQA?oc=5,"['Tina Burnside Aya Elamroussi', 'Tina Burnside', 'Aya Elamroussi']"
